sep=,
DeviceTag:,ydt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_839 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
209,3346911288,0.463356,-0.525943,0.430446,0.568678,-0.803143,-0.052287,-0.119556,0
210,3346927955,0.466214,-0.527554,0.428302,0.566464,-0.513012,-0.166761,-0.172869,0
211,3346944622,0.469335,-0.529627,0.425584,0.563996,-0.037722,-0.025985,-0.349249,0
212,3346961289,0.473508,-0.531839,0.422277,0.560903,0.757698,0.488416,-0.583944,0
213,3346977956,0.479119,-0.533504,0.418563,0.557329,1.300716,0.844173,-0.189172,0
214,3346994623,0.486328,-0.535467,0.413879,0.552682,2.363234,0.853011,-0.682230,0
215,3347011290,0.494098,-0.538671,0.406148,0.548396,2.742727,-0.041800,-0.721326,0
216,3347027957,0.502945,-0.544092,0.393510,0.544201,2.417871,-1.120197,-1.110090,0
217,3347044624,0.509380,-0.556184,0.375712,0.538540,1.023474,-1.348470,-1.124096,0
218,3347061291,0.513146,-0.570772,0.356051,0.533030,0.055958,-2.043418,-1.016599,0
219,3347077958,0.515516,-0.585087,0.338838,0.526401,-3.433820,-2.306002,-0.392152,0
220,3347094625,0.518213,-0.596357,0.327979,0.517916,-2.762241,-1.004719,-1.665767,0
221,3347111292,0.520281,-0.605690,0.322788,0.508181,-2.225630,-0.328630,-1.224745,0
222,3347127959,0.521203,-0.613850,0.316334,0.501459,0.741677,-2.020871,-0.997942,0
223,3347144626,0.525843,-0.619087,0.309672,0.494285,1.515611,-2.292362,0.013472,0
224,3347161293,0.530328,-0.626139,0.304056,0.483989,-1.782383,-0.571271,1.009723,0
225,3347177960,0.536687,-0.631979,0.298568,0.472673,-2.435743,-1.581147,-0.009171,0
226,3347194627,0.544865,-0.636987,0.294127,0.459186,-1.255082,-0.707331,-1.989980,0
227,3347211294,0.555462,-0.639551,0.290686,0.444896,1.692262,1.062489,-2.685162,0
228,3347227961,0.565999,-0.641413,0.286700,0.431312,2.037164,0.589972,-2.803530,0
229,3347244628,0.574161,-0.644175,0.280894,0.420084,0.974189,1.879436,-1.290246,0
230,3347261295,0.581883,-0.645665,0.275281,0.410783,0.622166,1.068325,0.932987,0
231,3347277962,0.587544,-0.647840,0.270234,0.402569,-0.131075,0.579878,2.777923,0
232,3347294629,0.589737,-0.653221,0.264942,0.394097,-0.385192,0.668207,1.964752,0
233,3347311296,0.591207,-0.659795,0.258879,0.384864,0.026688,1.180456,0.427985,0
234,3347327963,0.594445,-0.664447,0.253062,0.375630,0.413299,1.065387,-0.944088,0
235,3347344630,0.600447,-0.665804,0.247668,0.367182,0.161016,1.031448,-0.809508,0
236,3347361297,0.606710,-0.666326,0.241888,0.359718,0.289349,1.482193,1.055220,0
237,3347377964,0.610401,-0.668427,0.236004,0.353429,0.989643,1.561562,3.372513,0
238,3347394631,0.611315,-0.672050,0.230874,0.348331,0.625451,1.070596,2.887237,0
239,3347411298,0.611790,-0.675300,0.226308,0.344181,0.512192,1.257922,0.896527,0
240,3347427965,0.613093,-0.677101,0.221946,0.341153,0.472925,1.459448,0.553309,0
241,3347444632,0.614998,-0.677474,0.218217,0.339383,0.549121,1.561754,1.646108,0
242,3347461299,0.615884,-0.677838,0.215349,0.338883,0.776021,1.449808,2.515036,0
243,3347477966,0.615713,-0.678124,0.213263,0.339937,0.711019,1.363111,2.822364,0
244,3347494633,0.614945,-0.677917,0.212229,0.342380,0.432551,0.956240,2.611905,0
245,3347511300,0.613956,-0.676874,0.212351,0.346122,-0.038516,0.638165,2.592303,0
246,3347527967,0.612996,-0.674725,0.213787,0.351099,-0.352111,0.340584,2.575698,0
247,3347544634,0.612339,-0.671188,0.216545,0.357281,-0.278391,-0.065207,2.787388,0
248,3347561301,0.611135,-0.667175,0.220580,0.364321,-0.165321,-0.412689,3.161627,0
249,3347577968,0.609326,-0.663027,0.225706,0.371709,-0.413286,-0.466794,3.293720,0
250,3347594635,0.607293,-0.658364,0.232087,0.379315,-0.896356,-0.270840,2.678605,0
251,3347611302,0.604741,-0.653233,0.239675,0.387458,-1.373030,-0.305487,1.704948,0
252,3347627969,0.601581,-0.647396,0.248505,0.396506,-1.475174,-0.389641,1.623581,0
253,3347644636,0.598158,-0.640363,0.258656,0.406488,-1.698869,-0.417012,2.249542,0
254,3347661303,0.594026,-0.632689,0.269616,0.417298,-2.076855,-0.605560,2.723915,0
255,3347677970,0.588441,-0.625308,0.281358,0.428436,-2.032868,-0.873986,2.632127,0
256,3347694637,0.581355,-0.618507,0.293107,0.439951,-2.171048,-1.319245,2.016898,0
257,3347711304,0.572555,-0.612654,0.304140,0.452026,-1.718042,-1.259888,1.050609,0
258,3347727971,0.561992,-0.607038,0.315294,0.465030,-1.198450,-0.974948,-0.146151,0
259,3347744638,0.550520,-0.600956,0.326559,0.478678,-0.380050,-0.528082,-1.421779,0
260,3347761305,0.538374,-0.594541,0.337752,0.492536,0.171750,-0.500697,-2.267459,0
261,3347777972,0.526183,-0.587215,0.348596,0.506739,0.209396,0.189735,-3.117519,0
262,3347794639,0.515491,-0.577593,0.361466,0.519606,0.362663,0.388515,-3.023503,0
263,3347811306,0.506447,-0.566194,0.375485,0.530980,0.384937,0.941058,-3.799795,0
264,3347827973,0.498190,-0.554803,0.389812,0.540407,0.602245,1.175918,-3.945823,0
265,3347844640,0.492721,-0.543210,0.402975,0.547497,0.551013,1.980057,-5.009218,0
266,3347861307,0.488960,-0.533894,0.413467,0.552190,0.898854,0.951217,-3.890923,0
267,3347877974,0.482233,-0.528608,0.421398,0.557173,0.727038,0.245866,-0.901339,0
268,3347894641,0.475536,-0.524289,0.427047,0.562682,1.355877,-0.085480,-1.308779,0
269,3347911308,0.468368,-0.522757,0.429754,0.568033,1.970120,-1.453649,-0.728896,0
270,3347927975,0.460100,-0.522706,0.431311,0.573629,1.831233,-1.933531,-0.330944,0
271,3347944642,0.452355,-0.523337,0.432359,0.578405,1.334044,-1.753938,0.655076,0
272,3347961309,0.447317,-0.523311,0.433732,0.581311,0.480468,-0.950013,1.223534,0
273,3347977976,0.445113,-0.522457,0.436046,0.582040,-0.086095,-0.403824,0.860032,0
274,3347994643,0.445048,-0.520919,0.437995,0.582005,-0.611512,-0.458518,0.037535,0
275,3348011310,0.446640,-0.518993,0.440037,0.580964,-1.255190,-0.072005,0.111042,0
276,3348027977,0.449346,-0.516097,0.443205,0.579046,-1.781619,-0.129647,0.374715,0
277,3348044644,0.452833,-0.512899,0.447025,0.576228,-1.881801,-0.119505,0.115973,0
278,3348061311,0.456999,-0.509843,0.450668,0.572804,-1.258613,0.217869,-0.296745,0
279,3348077978,0.461029,-0.507505,0.453602,0.569324,-0.287213,0.596288,-0.324712,0
280,3348094645,0.464453,-0.506087,0.455542,0.566246,0.447454,0.640558,-0.379352,0
281,3348111312,0.467240,-0.505451,0.456512,0.563735,0.649556,0.170555,-0.278484,0
282,3348127979,0.469303,-0.505291,0.456576,0.562110,0.650894,-0.374068,-0.089971,0
283,3348144646,0.470738,-0.505466,0.456072,0.561161,0.643898,-0.544254,0.193454,0
